dataset_item_id,route,latency_ms,total_latency_ms,queueing_time_ms,inference_time_ms,exact_match,ground_truth,answer,job_start_ts,inference_start_ts,inference_end_ts,prompt,number_of_words,number_of_characters,experiment_start_time_ms,experiment_end_time_ms,dataset_name,route_strategy,pattern,device_model,cloud_model,jseq_predicted_device_inference_time,jseq_predicted_device_total_time,jseq_expected_device_finish_time,jseq_expected_device_number_jobs,jseq_predicted_cloud_inference_time,jseq_predicted_cloud_total_time,jseq_expected_cloud_finish_time,jseq_expected_cloud_number_jobs
497,device,476.50,486.00,10.00,476.00,1,"2","2",1772275664688,1772275664698,1772275665174,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Chelsea 1-0 West Ham
                                        News Description: Mateja Kezman finally broke his Chelsea goal duck with the winner against a spirited West Ham in the Carling Cup. The striker was making his 13th outing for Chelsea and he arrowed in a second half shot past keeper James Walker.
                                        ",93,765,1772275664684,1772275753499,ag_news_test,always_device,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,-1,-1,-1,0,-1,-1,-1,0
498,device,140.70,303.00,162.00,141.00,0,"2","(2)",1772275665029,1772275665191,1772275665332,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Steelers Downgrade Staley From Probable (AP)
                                        News Description: AP - Pittsburgh Steelers running back Duce Staley was downgraded Saturday from probable to questionable for Sunday's game against the Philadelphia Eagles.
                                        ",76,716,1772275664684,1772275753499,ag_news_test,always_device,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,-1,-1,-1,0,-1,-1,-1,0
499,device,121.80,434.00,312.00,122.00,0,"4","3",1772275665036,1772275665348,1772275665470,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: AMD Rolls Out Low-Cost Net Access Device in India
                                        News Description: US chip maker Advanced Micro Devices AMD.N has unveiled a low-cost Internet access device that could cost just a few hundred dollars, aimed at first-time technology users in the developing world.
                                        ",88,762,1772275664684,1772275753499,ag_news_test,always_device,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,-1,-1,-1,0,-1,-1,-1,0
1,device,134.70,423.00,289.00,134.00,1,"3","3",1772275665197,1772275665486,1772275665620,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: CEO Eisner to Step Down in Sept 2006 -WSJ
                                        News Description:  NEW YORK (Reuters) - Michael Eisner plans to step down as  Walt Disney Co.'s chief executive when his contract expires in  September 2006, the Wall Street Journal said on Friday.
                                        ",87,738,1772275664684,1772275753499,ag_news_test,always_device,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,-1,-1,-1,0,-1,-1,-1,0
2,device,127.30,555.00,428.00,127.00,1,"3","3",1772275665208,1772275665636,1772275665763,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Technology ; STT, Telekom Malaysia buy 48 pct of Idea
                                        News Description: Singapore government-owned STT and TM International, the international investment arm of Telekom Malaysia, said in a statement on Saturday they had signed  quot;definitive agreements quot; to buy the entire stake of Cingular Wireless in Idea.
                                        ",93,813,1772275664684,1772275753499,ag_news_test,always_device,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,-1,-1,-1,0,-1,-1,-1,0
3,device,143.00,610.00,467.00,143.00,0,"3","(2)",1772275665317,1772275665784,1772275665927,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Guilty Plea Seen in Computer Associates Case
                                        News Description: Steven Woghin, the former general counsel of Computer Associates, will plead guilty to criminal charges.
                                        ",70,666,1772275664684,1772275753499,ag_news_test,always_device,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,-1,-1,-1,0,-1,-1,-1,0
4,device,113.70,717.00,603.00,114.00,1,"3","3",1772275665345,1772275665948,1772275666062,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Coke opens its coolers to rival products
                                        News Description: Coca Cola is to allow other companies #39; products in its shop coolers for the first time. It has agreed the move in a deal with the European Commission to settle a five year competition case.
                                        ",91,751,1772275664684,1772275753499,ag_news_test,always_device,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,-1,-1,-1,0,-1,-1,-1,0
5,device,125.70,803.00,677.00,126.00,1,"2","2",1772275665404,1772275666081,1772275666207,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title:  #39;Noles Rebound
                                        News Description: Leon Washington ran for 104 yards and a touchdown and Florida State sacked Alabama-Birmingham #39;s Darrell Hackney eight times Saturday night to rebound from a disappointing loss to Miami with a 34-7 victory.
                                        ",83,745,1772275664684,1772275753499,ag_news_test,always_device,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,-1,-1,-1,0,-1,-1,-1,0
6,device,107.70,700.00,593.00,107.00,1,"3","3",1772275665630,1772275666223,1772275666330,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Earnings Improve at Japanese Electronics Firms
                                        News Description: The Japanese electronics makers remained cautious about the months ahead, citing worries about global growth. Japanese corporate profits are almost certain to be hurt by any economic slowdown in Japan and in the United States.
                                        ",89,790,1772275664684,1772275753499,ag_news_test,always_device,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,-1,-1,-1,0,-1,-1,-1,0
7,device,119.10,783.00,664.00,119.00,1,"3","3",1772275665683,1772275666347,1772275666466,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: US Airways May Liquidate by February
                                        News Description: ALEXANDRIA, Va. Sept. 27, 2004 - US Airways Group Inc. warned in a bankruptcy court filing that it may have to liquidate by February if a judge does not impose a temporary 23 percent pay cut on its union workers.
                                        ",94,766,1772275664684,1772275753499,ag_news_test,always_device,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,-1,-1,-1,0,-1,-1,-1,0
