dataset_item_id,route,latency_ms,total_latency_ms,queueing_time_ms,inference_time_ms,exact_match,ground_truth,answer,job_start_ts,inference_start_ts,inference_end_ts,prompt,number_of_words,number_of_characters,experiment_start_time_ms,experiment_end_time_ms,dataset_name,route_strategy,pattern,device_model,cloud_model,jseq_predicted_device_inference_time,jseq_predicted_device_total_time,jseq_expected_device_finish_time,jseq_expected_device_number_jobs,jseq_predicted_cloud_inference_time,jseq_predicted_cloud_total_time,jseq_expected_cloud_finish_time,jseq_expected_cloud_number_jobs
238,cloud,176.90,184.00,7.00,177.00,0,"4","3",1772290205381,1772290205388,1772290205565,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Firefox 1.0 Presents Threat to IE
                                        News Description: The Firefox browser offers superior security features over Internet Explorer -- and as long as IE drives more than 90 percent of the world #39;s computers, hackers will continue to make it a target.
                                        ",88,749,1772290205379,1772290250992,ag_news_test,jseq,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,156.36586062851967,156.365966796875,1772290205537.366,0,143.94723922685142,143.947265625,1772290205524.9473,0
239,device,152.40,163.00,10.00,153.00,0,"1","3",1772290205419,1772290205429,1772290205582,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Romania Faces Hung Parliament Risk After Vote
                                        News Description:  BUCHAREST (Reuters) - Romania faced weeks of uncertainty on  Monday after inconclusive general elections in the poor Balkan  country, already struggling to stay on track to join the  European Union.  Partial results showed the ruling ex-communist Social Democrats  (PSD) of Prime Minister Adrian Nastase a whisker ahead of the  opposition centrists in Sunday's election but well short of a  majority in parliament.
                                        ",117,978,1772290205379,1772290250992,ag_news_test,jseq,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,191.08567117350464,191.085693359375,1772290205610.0857,0,207.71505299483104,207.715087890625,1772290205626.715,0
241,device,120.60,219.00,98.00,121.00,0,"1","3",1772290205495,1772290205593,1772290205714,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: At least 20 dead in Kurkik bombing
                                        News Description: A suicide attacker detonated a car bomb near a crowd of people waiting to apply for jobs with the Iraqi National Guard in the northern city of Kirkuk on yesterday, killing at least 20 people and wounding 16, officials said.
                                        ",95,775,1772290205379,1772290250992,ag_news_test,jseq,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,155.54532061616928,155.54541015625,1772290205650.5454,0,164.41001648863977,233.8486328125,1772290205728.8486,1
240,cloud,143.00,301.00,158.00,143.00,0,"2","3",1772290205419,1772290205577,1772290205720,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Raptors fall to Nuggets
                                        News Description: CBC SPORTS ONLINE - After starting the season with three straight wins, the Toronto Raptors are heading back home with a losing record.
                                        ",75,676,1772290205379,1772290250992,ag_news_test,jseq,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,128.5279051384899,319.613525390625,1772290205738.6135,1,145.4386589056466,145.438720703125,1772290205564.4387,0
1,device,103.70,218.00,115.00,103.00,1,"3","3",1772290205611,1772290205726,1772290205829,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: CEO Eisner to Step Down in Sept 2006 -WSJ
                                        News Description:  NEW YORK (Reuters) - Michael Eisner plans to step down as  Walt Disney Co.'s chief executive when his contract expires in  September 2006, the Wall Street Journal said on Friday.
                                        ",87,738,1772290205379,1772290250992,ag_news_test,jseq,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,117.55394984655567,117.553955078125,1772290205728.554,0,135.69055884525022,250.93310546875,1772290205861.933,1
242,cloud,135.20,304.00,169.00,135.00,0,"1","3",1772290205563,1772290205732,1772290205867,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Palestinian says Americans' killers can't be arrested
                                        News Description: GAZA -- Palestinian security forces know who was behind the killing of three Americans in Gaza nearly a year ago but cannot act against the factions while fighting with Israel continues, a top Palestinian security official said.
                                        ",92,799,1772290205379,1772290250992,ag_news_test,jseq,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,163.54029895878486,251.085693359375,1772290205814.0857,1,161.80367930610717,163.242431640625,1772290205726.2424,1
2,device,123.60,267.00,143.00,124.00,1,"3","3",1772290205698,1772290205841,1772290205965,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Technology ; STT, Telekom Malaysia buy 48 pct of Idea
                                        News Description: Singapore government-owned STT and TM International, the international investment arm of Telekom Malaysia, said in a statement on Saturday they had signed  quot;definitive agreements quot; to buy the entire stake of Cingular Wireless in Idea.
                                        ",93,813,1772290205379,1772290250992,ag_news_test,jseq,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,138.24130769150997,168.795166015625,1772290205866.7952,1,150.2719535340071,178.514404296875,1772290205876.5144,1
3,cloud,196.20,245.00,49.00,196.00,1,"3","3",1772290205831,1772290205880,1772290206076,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Guilty Plea Seen in Computer Associates Case
                                        News Description: Steven Woghin, the former general counsel of Computer Associates, will plead guilty to criminal charges.
                                        ",70,666,1772290205379,1772290250992,ag_news_test,jseq,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,125.14833609271295,160.943603515625,1772290205991.9436,1,129.25263699294774,129.252685546875,1772290205960.2527,0
4,device,117.70,258.00,140.00,118.00,1,"3","3",1772290205837,1772290205977,1772290206095,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Coke opens its coolers to rival products
                                        News Description: Coca Cola is to allow other companies #39; products in its shop coolers for the first time. It has agreed the move in a deal with the European Commission to settle a five year competition case.
                                        ",91,751,1772290205379,1772290250992,ag_news_test,jseq,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,133.4458228206631,163.240966796875,1772290206000.241,1,160.55663925019627,283.809326171875,1772290206120.8093,1
6,device,126.70,273.00,146.00,127.00,1,"3","3",1772290205961,1772290206107,1772290206234,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Earnings Improve at Japanese Electronics Firms
                                        News Description: The Japanese electronics makers remained cautious about the months ahead, citing worries about global growth. Japanese corporate profits are almost certain to be hurt by any economic slowdown in Japan and in the United States.
                                        ",89,790,1772290205379,1772290250992,ag_news_test,jseq,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,143.05122833851996,182.292236328125,1772290206143.2922,1,163.9477702276979,334.745849609375,1772290206295.7458,1
